SKU,Brand,Product Name,Current Price,Price per unit,Unit Size,Previous Price,On Special,Suppliers,Category,Availability,URL,Date
2744359P,Tamar Valley,Kids Greek Strawberry Yoghurt Pouch,1.3,$1.18 per 100G,110g,1.8,Specials,"['64262 LACTALIS AUSTRALIA P/L', '972697 LACTALIS AUSTRALIA P/L']",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/tamar-valley-kids-valley-strawberry-yoghurt-pouch,2021-04-23
3789942P,B Honey,Squeeze,8.5,$1.89 per 100G,450g,,,['973987 BEGA CHEESE LIMITED'],pantry,Available,https://shop.coles.com.au/a/national/product/b-honey-squeze,2021-04-23
127431P,Bega,Dairylea Cheddar Cheese Block,4.0,$16.00 per 1Kg,250g,,,"['973987 BEGA CHEESE LIMITED', '26239 KRAFT FOOD']",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/kraft-cheese-cheddar-block,2021-04-23
3289553P,Puck,Cream Cheese Spread Jar,9.0,$1.80 per 100G,500g,,,['974901 ABWFOODS AUSTRALIA'],international-foods,Available,https://shop.coles.com.au/a/national/product/puck-cream-cheese-jar-3289553p,2021-04-23
5376218P,Vege,Original Natural Chips,3.8,$3.80 per 100G,100g,,,"['655643 THE VEGE CHIP CO P/L', '32077 MANASSEN FOODS AUST P/L']",pantry,Available,https://shop.coles.com.au/a/national/product/vege-chips-natural,2021-04-23
2690920P,Coles,Pulp Free Orange Juice Chilled,5.0,$2.50 per 1L,2L,,,['939953 GROVE FRUIT JUICE P/L(PRIVATE LA'],drinks,Available,https://shop.coles.com.au/a/national/product/coles-orange-juice-pulp-free,2021-04-23
9096010P,Coles Deli,Salads Tub Small Classic Pasta,4.0,$4.00 per 1Ea,Small,,,"['413062 HOMESTYLE SALADS', '656186 COLES SUPERMARKETS (EXP)', '962422 SUNFRESH SALADS', '756806 SALADFRESH', '961779 PMFRESH PTY LTD']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/coles-salad-tub-classic-pasta-small-from-the-deli,2021-04-23
6025536P,Arnott's,Classic Dark Chocolate Tim Tam,4.0,$2.00 per 100G,200g,,Specials,"[""96733 ARNOTT'S BISCUITS LTD (NSW DIV)""]",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/arnotts-chocolate-biscuits-tim-tams-classic-dark-chocolate,2021-04-23
3856857P,Coles,Kitchen Parmesan Ranch Dressing,4.0,$1.60 per 100mL,250mL,,,"['939301 FRESH PRODUCE DC (WA)', '939312 FRESH PRODUCE DC (NSW)', '942633 CARTER & SPENCER NORTH QLD', ""635235 COSTA'S P/L (VIC DC)"", '933347 COSTAS (TASMANIA)', '963222 EPICUREAN PRODUCTS P/L (HOUSEBRA', '97446 CARTER & SPENCER GROUP P/L', '414760 ST GEORGE PROD PTY LTD']",convenience-meals,Available,https://shop.coles.com.au/a/national/product/coles-parmesan-ranch-dressing,2021-04-23
5249684P,Burgen,Traditional Rye Bread,5.0,$0.71 per 100G,700g,,,"['937127 CRIPPS NUBAKE P/L', '920782 TIP TOP BAKERIES', '45616 TIP TOP BAKERIES (BRANDED FROZEN']",bakery,Available,https://shop.coles.com.au/a/national/product/burgen-bread-rye-5249684p,2021-04-23
3794137P,Sistema,Klip It Plus Rectangle Container 1L,2.75,$2.75 per 1Ea,1 each,5.5,Specials,['731501 SISTEMA PLASTICS AUST LTD'],household,Available,https://shop.coles.com.au/a/national/product/sistema-klip-it-plus-container-3794137p,2021-04-23
1167828P,Sensodyne,Sensitive Teeth Pain Complete Care Toothpaste,11.0,$11.00 per 100G,100g,,,"['971903 GLAXOSMITHKLINE CONSUMER HEALTHC', '41629 GLAXOSMITHKLINE AUST P/L']",health-beauty,Available,https://shop.coles.com.au/a/national/product/sensodyne-toothpaste-complete-care,2021-04-23
393967P,Bulla,Low Fat Onion & Chives Cottage Cheese,3.0,$15.00 per 1Kg,200g,,,['39063 BULLA DAIRY FOODS'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/bulla-cheese-cottage-low-fat-onions-chives,2021-04-23
3784133P,Cook & Dine,Bearly Awake Mug,4.0,$4.00 per 1Ea,1 each,,Specials,"[""962791 STONEAGE CERAMICS INT'L HONG KON""]",household,Available,https://shop.coles.com.au/a/national/product/cok-dine-bearly-awake-mug,2021-04-23
1020397P,Ambi Pur,Febreze Extra Strength Fabric Freshener Trigger Spray,6.5,$1.76 per 100mL,370mL,,,['422720 PROCTER & GAMBLE AUST P/L'],household,Available,https://shop.coles.com.au/a/national/product/febreze-ambi-pur-trigger-extra-strength,2021-04-23
3434856P,Cobs,Natural Best Ever Butter Gluten Free Popcorn,2.85,$2.85 per 100G,100g,,,['974102 COBS FINE FOODS'],pantry,Available,https://shop.coles.com.au/a/national/product/cobs-natural-best-ever-butter-popcorn,2021-04-23
221713P,Ratsak,Rat & Mouse Bait,7.7,$2.20 per 100G,350g,,,"['44318 SELLEYS AUST', '941631 YATES AUST', '975701 YATES AUSTRALIA', '37354 ARTHUR YAT']",household,Available,https://shop.coles.com.au/a/national/product/ratsak-rat-mouse-bait,2021-04-23
129685P,Continental,Cup A Soup Hearty Beef Soup Serves 4,2.0,$3.64 per 100G,55g,,,['421901 UNILEVER A'],pantry,Available,https://shop.coles.com.au/a/national/product/continental-cup-a-soup-hearty-beef,2021-04-23
3512814P,Coles,Thawed Seafood Half Shell Scallops,1.3,$1.30 per 1Ea,1 each,,,"['973618 SEA HARVEST TRADING', '928355 BETTER CHOICE FISHERIES']",meat-seafood-deli,Available,https://shop.coles.com.au/a/national/product/coles-thawed-seafood-half-shell-scallops,2021-04-23
3873732P,Coles Finest,Australian Bark With Olive Oil And Sea Salt,4.2,$2.80 per 100G,150g,7.0,Specials,['933199 FOOD SERV SOLUTIONS P/L'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/bark-olive-oil-sea-salt,2021-04-23
3182775P,Arnott's,Mini Variety Biscuits 12 Pack,5.0,$1.71 per 100G,292g,,,"[""96733 ARNOTT'S BISCUITS LTD (NSW DIV)""]",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/arnotts-mini-12-pack-biscuits-variety,2021-04-23
5086105P,Continental,Superb Chicken Stock Powder,2.5,$0.19 per 10G,130g,3.0,Specials,['421901 UNILEVER A/ASIA FOODS'],pantry,Available,https://shop.coles.com.au/a/national/product/continental-stock-powder-chicken,2021-04-23
1987129P,Planet Food,Organic Coconut Flour,5.0,$12.50 per 1Kg,400g,7.0,Specials,"['968531 HEALTHY WARRIOR', '976539 HEALTHY GENERATION PTY LTD']",pantry,Available,https://shop.coles.com.au/a/national/product/planet-food-organic-coconut-flour,2021-04-23
4144250P,Radiant,Laundry Liquid Mixed Colour Wash,9.0,$4.50 per 1L,2L,18.0,Specials,['9091 PZ CUSSONS AUST P/L'],household,Available,https://shop.coles.com.au/a/national/product/mixed-colour-wash,2021-04-23
2024349P,Coles,Cocoa Puffs,1.9,$0.63 per 100G,300g,2.0,Specials,"['950174 HUBBARD FOODS LTD', '145823 OVERSEAS SUPPLIER']",pantry,Available,https://shop.coles.com.au/a/national/product/coles-cocoa-puffs-cereal,2021-04-23
8930039P,Twinings,Afternoon Tea Bags 100 pack,5.6,$0.06 per 1Ea,200g,11.2,Specials,['941157 TWININGS & CO'],pantry,Available,https://shop.coles.com.au/a/national/product/twinings-tea-bags-australian-afternoon-8930039p,2021-04-23
2076524P,Hans,Devon,1.075,$8.60 per 1Kg,approx. 125g,,,"['959437 PRIMO FOODS PTY LTD', '960973 HANS CONTINENTAL SMALLGOODS (RAN']",kids-lunch-box,Available,https://shop.coles.com.au/a/national/product/coles-deli-hans-oliving-devon,2021-04-23
3866282P,Coles,Quiche Lorraine,5.0,$2.78 per 100G,180g,,,['953111 PATTIES FOODS PRIVATE LABEL'],from-deli,Available,https://shop.coles.com.au/a/national/product/coles-quiche-lorraine-3866282p,2021-04-23
3842091P,The No Nasties,Sugar Free-Zies,6.5,$0.43 per 1Ea,15 pack,,,"['976695 COLES SUPERMARKETS AUSTRALIA P/L', '979656 THE NO NASTIES ICICLE PROJECT']",pantry,Available,https://shop.coles.com.au/a/national/product/the-no-nasties-sugar-fre-zies,2021-04-23
3867194P,On The Menu,Buttermilk Fried Chicken,4.8,$1.50 per 100G,320g,6.0,Specials,['963764 VESCO FOODS P/L'],frozen,Available,https://shop.coles.com.au/a/national/product/on-the-menu-buttermilk-fried-chicken,2021-04-23
1503754P,Coles Finest,Balsamic Vinegar,6.0,$2.40 per 100mL,250mL,,,"['145823 OVERSEAS SUPPLIER', '963959 ACETIFICIO CARANDINI EMILIO SPA']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/coles-finest-balsamic-vinegar,2021-04-23
3525634P,Moccona,Espresso 7 Coffee Capsules 10 pack,6.0,$11.54 per 100G,52g,,,['633861 JACOBS DOUWE EGBERTS AU P/L'],drinks,Available,https://shop.coles.com.au/a/national/product/moccona-coffee-capsules-espresso-7,2021-04-23
3467470P,Coles,Kitchen Pea & Ham Soup,3.0,$1.00 per 100G,300g,,Specials,"['979047 CHEF FRESH PTY LTD (JFF) (CB)', '967838 PMFRESH PTY LTD', '968277 PITANGO P/L']",entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/coles-pea-ham-soup-3467470p,2021-04-23
3772666P,Coles,Kitchen Chicken Breast Mushroom Sauce,10.0,$2.78 per 100G,360g,,,['922163 MILNE AGRIGROUP P/L'],convenience-meals,Available,https://shop.coles.com.au/a/national/product/coles-chicken-breast-crm-mushrm,2021-04-23
2396412P,Kellogg's,LCMs Kaleidos Puffed Rice Snack Bars 15 pack,7.0,$2.12 per 100G,330g,7.5,Specials,['25054 KELLOGG AUST P/L'],pantry,Available,https://shop.coles.com.au/a/national/product/kelloggs-lcm-value-pack-rice-bubbles-kaleidoscope-15-pack,2021-04-23
3925574P,Lenny And Larry's,The Complete Cookie Chocolate Chip,4.5,$3.98 per 100G,113g,,,['966684 NUTRITION SYSTEMS'],pantry,Available,https://shop.coles.com.au/a/national/product/chocolate-chip-113g,2021-04-23
